ZCTA5,STATE,COUNTY,TRACT,GEOID,POPPT,HUPT,AREAPT, AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,TRPOP,TRHU,TRAREA,TRAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,TRPOPPCT,TRHUPCT,TRAREAPCT,TRAREALANDPCT
00637,72,121,960400,72121960400,4549,1841,1450056,1450056,25287,10962,89251345,89226022,4549,1841,1450056,1450056,17.99,16.79,1.62,1.63,100,100,100,100
00637,72,121,960500,72121960500,1605,910,587172,587172,25287,10962,89251345,89226022,1605,910,587172,587172,6.35,8.3,.66,.66,100,100,100,100
00637,72,121,960600,72121960600,2545,1113,1952525,1952126,25287,10962,89251345,89226022,2545,1113,1952525,1952126,10.06,10.15,2.19,2.19,100,100,100,100
00637,72,121,960700,72121960700,5261,2265,19602213,19587365,25287,10962,89251345,89226022,5261,2265,19602213,19587365,20.81,20.66,21.96,21.95,100,100,100,100
00637,72,121,960800,72121960800,4849,2092,15071878,15063052,25287,10962,89251345,89226022,4849,2092,15071878,15063052,19.18,19.08,16.89,16.88,100,100,100,100
00637,72,153,750201,72153750201,111,42,3099498,3099498,25287,10962,89251345,89226022,3575,1577,52210630,50936643,.44,.38,3.47,3.47,3.1,2.66,5.94,6.09
00638,72,039,955600,72039955600,4812,2027,56252577,56101152,18941,7805,171548452,171055117,4981,2087,58633199,58481774,25.41,25.97,32.79,32.8,96.61,97.13,95.94,95.93
00638,72,039,955700,72039955700,3375,1410,4268090,4169161,18941,7805,171548452,171055117,3375,1410,4268090,4169161,17.82,18.07,2.49,2.44,100,100,100,100
00638,72,039,955800,72039955800,5544,2302,33567559,33441831,18941,7805,171548452,171055117,5544,2302,33567559,33441831,29.27,29.49,19.57,19.55,100,100,100,100
00638,72,039,955900,72039955900,4882,1937,76300734,76217204,18941,7805,171548452,171055117,4882,1937,76300734,76217204,25.77,24.82,44.48,44.56,100,100,100,100
00638,72,091,570800,72091570800,328,129,1159492,1125769,18941,7805,171548452,171055117,7350,2939,30725355,30611633,1.73,1.65,.68,.66,4.46,4.39,3.77,3.68
00641,72,001,956300,72001956300,65,29,261308,261308,31191,13358,245703692,242237480,4336,1735,44924558,44833897,.21,.22,.11,.11,1.5,1.67,.58,.58
00641,72,141,956900,72141956900,2286,946,37363368,35028857,31191,13358,245703692,242237480,4204,1760,74656425,71801088,7.33,7.08,15.21,14.46,54.38,53.75,50.05,48.79
00641,72,141,957000,72141957000,5374,2195,47065816,46378407,31191,13358,245703692,242237480,5374,2195,47065816,46378407,17.23,16.43,19.16,19.15,100,100,100,100
00641,72,141,957100,72141957100,5031,2172,63423717,63334496,31191,13358,245703692,242237480,5031,2172,76389451,76299504,16.13,16.26,25.81,26.15,100,100,83.03,83.01
00641,72,141,957200,72141957200,5153,2153,44352486,44340132,31191,13358,245703692,242237480,5153,2153,44352486,44340132,16.52,16.12,18.05,18.3,100,100,100,100
00641,72,141,957300,72141957300,4128,1671,2634471,2559567,31191,13358,245703692,242237480,4128,1671,2634471,2559567,13.23,12.51,1.07,1.06,100,100,100,100
00641,72,141,957400,72141957400,2434,1049,2537446,2534975,31191,13358,245703692,242237480,2434,1049,2537446,2534975,7.8,7.85,1.03,1.05,100,100,100,100
00641,72,141,957500,72141957500,2967,1558,2604765,2573435,31191,13358,245703692,242237480,2967,1558,2604765,2573435,9.51,11.66,1.06,1.06,100,100,100,100
00641,72,141,957600,72141957600,3753,1585,45460315,45226303,31191,13358,245703692,242237480,3858,1634,47786729,47552717,12.03,11.87,18.5,18.67,97.28,97,95.13,95.11
00646,72,051,540100,72051540100,3162,1366,2797307,2032700,38199,16699,56933071,53611823,3171,1371,10991638,8237686,8.28,8.18,4.91,3.79,99.72,99.64,25.45,24.68
00646,72,051,540200,72051540200,4192,2835,7986503,5813425,38199,16699,56933071,53611823,4192,2835,7986503,5813425,10.97,16.98,14.03,10.84,100,100,100,100
00646,72,051,540300,72051540300,2409,1041,970174,944087,38199,16699,56933071,53611823,2409,1041,970174,944087,6.31,6.23,1.7,1.76,100,100,100,100
00646,72,051,540400,72051540400,8899,3459,14975494,14719464,38199,16699,56933071,53611823,8899,3459,14975494,14719464,23.3,20.71,26.3,27.46,100,100,100,100
00646,72,051,540500,72051540500,7908,3218,7905034,7899435,38199,16699,56933071,53611823,7908,3218,7905034,7899435,20.7,19.27,13.88,14.73,100,100,100,100
00646,72,051,540600,72051540600,4774,2004,10281847,10230173,38199,16699,56933071,53611823,4774,2004,10281847,10230173,12.5,12,18.06,19.08,100,100,100,100
00646,72,051,540700,72051540700,6812,2759,11999192,11955019,38199,16699,56933071,53611823,6812,2759,11999192,11955019,17.83,16.52,21.08,22.3,100,100,100,100
00646,72,143,550602,72143550602,43,17,17520,17520,38199,16699,56933071,53611823,3870,1445,4266189,4262186,.11,.1,.03,.03,1.11,1.18,.41,.41
00647,72,055,961000,72055961000,1715,750,12528424,12440145,6172,3482,47393118,39379804,2821,1232,30073164,29963875,27.79,21.54,26.44,31.59,60.79,60.88,41.66,41.52
00647,72,055,961400,72055961400,1464,782,1989130,1510883,6172,3482,47393118,39379804,1464,782,1989130,1510883,23.72,22.46,4.2,3.84,100,100,100,100
00647,72,055,961500,72055961500,2924,1909,32143154,24696366,6172,3482,47393118,39379804,2924,1909,32293468,24698928,47.38,54.82,67.82,62.71,100,100,99.53,99.99
00647,72,079,850101,72079850101,69,41,732410,732410,6172,3482,47393118,39379804,2662,1211,69989593,58350866,1.12,1.18,1.55,1.86,2.59,3.39,1.05,1.26
00650,72,013,302300,72013302300,226,94,2288217,2285878,14998,6124,79609991,79052810,3089,1075,38760868,38738316,1.51,1.53,2.87,2.89,7.32,8.74,5.9,5.9
00650,72,017,590400,72017590400,287,120,933388,933388,14998,6124,79609991,79052810,5834,2492,16361145,16358302,1.91,1.96,1.17,1.18,4.92,4.82,5.7,5.71
00650,72,039,955600,72039955600,169,60,2380622,2380622,14998,6124,79609991,79052810,4981,2087,58633199,58481774,1.13,.98,2.99,3.01,3.39,2.87,4.06,4.07
00650,72,054,580100,72054580100,5768,2328,25549118,25520192,14998,6124,79609991,79052810,5908,2380,25702781,25673855,38.46,38.01,32.09,32.28,97.63,97.82,99.4,99.4
00650,72,054,580200,72054580200,6772,2757,13722727,13717637,14998,6124,79609991,79052810,6772,2757,13722727,13717637,45.15,45.02,17.24,17.35,100,100,100,100
00650,72,141,956900,72141956900,1776,765,34735919,34215093,14998,6124,79609991,79052810,4204,1760,74656425,71801088,11.84,12.49,43.63,43.28,42.25,43.47,46.53,47.65
00652,72,013,300101,72013300101,2066,855,9157950,9142412,4715,1947,17922573,17906137,5178,2159,18328910,18220738,43.82,43.91,51.1,51.06,39.9,39.6,49.96,50.18
00652,72,013,300102,72013300102,2649,1092,8764623,8763725,4715,1947,17922573,17906137,5256,2255,11173460,11172562,56.18,56.09,48.9,48.94,50.4,48.43,78.44,78.44
