,name,boro,zip,link,state,latlng,lat,lng
113,Community Access,New York,10004,https://www.shelterlistings.org/details/30116/,NY,"40.7250632,-73.9976946",40.7250632,-73.9976946
114,West End Residence HDFC- Casa Cecilia and Seton House,New York,10024,https://www.shelterlistings.org/details/29942/,NY,"40.7871631,-73.9793483",40.7871631,-73.9793483
115,Ansche Chesed - Men's Shelter,New York,10025,https://www.shelterlistings.org/details/36420/,NY,"40.7976203,-73.9708314",40.7976203,-73.9708314
116,"Japanese American Social Services, Inc., Jassi",New York,10038,https://www.shelterlistings.org/details/24935/,NY,"40.7071498,-74.0021019",40.7071498,-74.0021019
117,Henry Street Settlement,New York,10002,https://www.shelterlistings.org/details/30730/,NY,"40.7140650,-73.9844770",40.7140650,-73.9844770
118,Project Find,New York,10023,https://www.shelterlistings.org/details/30644/,NY,"40.7776330,-73.9814190",40.7776330,-73.9814190
119,Neighborhood Coalition For Shelter,New York,10004,https://www.shelterlistings.org/details/30567/,NY,"40.7794470,-73.9547340",40.7794470,-73.9547340
120,Urban Pathways New York,New York,10018,https://www.shelterlistings.org/details/30486/,NY,"40.7550350,-73.9918030",40.7550350,-73.9918030
121,Greenhope Housing - Service for Women,New York,10035,https://www.shelterlistings.org/details/30389/,NY,"40.7976522,-73.9333649",40.7976522,-73.9333649
122,Services for the UnderServed (SUS),New York,10001,https://www.shelterlistings.org/details/30381/,NY,"40.8076392,-73.9393731",40.8076392,-73.9393731
123,Bailey House Inc.,New York,10035,https://www.shelterlistings.org/details/30338/,NY,"40.7455370,-73.9941609",40.7455370,-73.9941609
124,Barrier Free Living,New York,10009,https://www.shelterlistings.org/details/30283/,NY,"40.7209750,-73.9803529",40.7209750,-73.9803529
125,Common Ground,New York,10018,https://www.shelterlistings.org/details/24915/,NY,"40.7530121,-73.9928606",40.7530121,-73.9928606
126,The Door - Runaway and Homeless Youth,New York,10013,https://www.shelterlistings.org/details/24766/,NY,"40.7239947,-74.0048532",40.7239947,-74.0048532
127,Encore 49 Residence,New York,10019,https://www.shelterlistings.org/details/24776/,NY,"40.7614235,-73.9856661",40.7614235,-73.9856661
